station_id,mae_h2,mae_h2e,n_test_cells,true_doc_mean,pred_doc_mean,mae,bias,lat,lon,huc2,upstream_degree,downstream_degree,hist_doc_mean,improvement
05451210,1.498268723487854,1.3248770236968994,238,4.250247955322266,4.65930700302124,1.6476526260375977,0.409059077501297,42.31530556,-93.1521944,7,0,1,4.250247955322266,0.1733916997909546
07049690,0.4458426535129547,0.2792907655239105,48,2.223750114440918,2.909149169921875,0.6876580119132996,0.6853992342948914,36.42090508,-93.8474187,11,1,1,2.223750114440918,0.1665518879890442
385234087071801,0.814670741558075,0.6508893370628357,24,4.186458110809326,5.163384914398193,1.4811983108520508,0.976926326751709,38.8761577,-87.1216775,5,2,1,4.186458110809326,0.16378140449523926
401201105354701,0.6376465559005737,0.5184126496315002,25,2.628000259399414,3.117480516433716,0.6236080527305603,0.4894806742668152,40.20027778,-105.5963889,10,0,1,2.628000259399414,0.11923390626907349
03144289,1.541243076324463,1.4230290651321411,31,4.389785289764404,3.774192094802856,1.4336546659469604,-0.615592896938324,40.2270151,-81.9931914,5,0,1,4.389785289764404,0.11821401119232178
06888500,0.8863402009010315,0.7968564033508301,35,3.0971429347991943,3.804485559463501,0.9475013613700868,0.7073428630828857,39.06472106,-96.1691605,10,0,1,3.0971429347991943,0.08948379755020142
03024000,0.7261534929275513,0.6394870281219482,29,3.481034755706787,2.57060170173645,0.939874827861786,-0.9104328751564026,41.43755525,-79.9558912,5,0,1,3.481034755706787,0.08666646480560303
06877600,2.615903377532959,2.5303969383239746,20,7.84499979019165,4.358585357666016,3.486415386199951,-3.486415386199951,38.90638906,-97.1177952,10,0,1,7.84499979019165,0.08550643920898438
06765500,1.8023489713668823,1.7176849842071533,29,4.441723823547363,3.408149242401123,1.9821925163269043,-1.0335745811462402,41.11805396,-100.7732011,10,0,1,4.441723823547363,0.084663987159729
07056515,1.1818580627441406,1.1029192209243774,60,2.001138925552368,1.5636297464370728,1.1320801973342896,-0.437509149312973,35.94,-92.7133333,11,0,1,2.001138925552368,0.07893884181976318
06770500,3.3212225437164307,3.2496213912963867,22,6.270454406738281,7.6269612312316895,3.2478790283203125,1.356507420539856,40.87411667,-98.28219167,10,7,1,6.270454406738281,0.07160115242004395
464500112195200,0.8916003108024597,0.8595256805419922,24,1.6095833778381348,0.8807929158210754,0.9151275753974916,-0.7287904620170593,46.75,-112.331111,10,0,1,1.6095833778381348,0.03207463026046753
05331833,1.4336156845092773,1.42350172996521,29,5.7448272705078125,5.758203029632568,1.3769670724868774,0.0133756520226597,46.1713687,-91.3293778,7,0,1,5.7448272705078125,0.010113954544067383
392200106120000,0.5569537281990051,0.5500786900520325,27,1.085925817489624,1.0585589408874512,0.6060625910758972,-0.0273668728768825,39.3643583,-106.215175,11,0,1,1.085925817489624,0.006875038146972656
03039930,0.3269396424293518,0.3240194320678711,26,1.2461539506912231,1.487842679023743,0.4357756972312927,0.2416887432336807,40.2281305,-79.0466946,5,0,1,1.2461539506912231,0.002920210361480713
06364700,6.340157508850098,6.338952541351318,35,12.209999084472656,13.484379768371582,7.9680376052856445,1.274379014968872,43.4855256,-105.2280351,10,0,1,12.209999084472656,0.0012049674987792969
06893830,0.7864068746566772,0.7861270308494568,49,4.09591817855835,3.568987846374512,0.7448704838752747,-0.526930570602417,39.03777778,-94.3633333,10,0,1,4.09591817855835,0.000279843807220459
06893150,0.9060189127922058,0.9165109395980835,47,5.474326133728027,4.492754936218262,1.3411210775375366,-0.9815711379051208,38.88941667,-94.5806667,10,0,1,5.474326133728027,-0.010492026805877686
06296120,1.6037086248397827,1.6164438724517822,41,4.993902206420898,6.59266996383667,2.5726284980773926,1.5987675189971924,46.3980582,-105.8955602,10,2,1,4.993902206420898,-0.012735247611999512
454147113560900,0.2266017645597458,0.24179114401340485,28,0.5849999785423279,0.5485551953315735,0.2051951885223388,-0.0364447832107543,45.69638889,-113.9358333,10,0,1,0.5849999785423279,-0.015189379453659058
403245106404900,1.0326093435287476,1.0680415630340576,55,3.053787469863892,5.037574768066406,1.9856377840042116,1.9837877750396729,40.54581087,-106.6808768,10,0,1,3.053787469863892,-0.03543221950531006
03474000,1.997805118560791,2.0429441928863525,26,1.461538553237915,2.205512523651123,0.8713464140892029,0.7439738512039185,36.80733756,-81.6220617,6,0,1,1.461538553237915,-0.04513907432556152
07048600,0.9137558937072754,0.9620251059532166,152,2.739342212677002,2.3792612552642822,1.011519432067871,-0.3600809276103973,36.07305556,-94.0811111,11,0,1,2.739342212677002,-0.04826921224594116
03357330,0.7582334280014038,0.8086108565330505,32,3.4198436737060547,3.2465505599975586,0.7358427047729492,-0.1732932031154632,39.81625714,-86.753968,5,0,1,3.4198436737060547,-0.05037742853164673
322023090544500,0.5381652116775513,0.6072083711624146,169,3.700103521347046,3.708762884140015,0.6913540363311768,0.008659359999001,32.3397222,-90.9125,8,4,1,3.700103521347046,-0.06904315948486328
07083000,0.9547154307365417,1.0364497900009155,27,1.1737489700317385,2.646162509918213,1.674705982208252,1.4724136590957642,39.17221259,-106.3891926,11,0,1,1.1737489700317385,-0.08173435926437378
072632992,0.33775997161865234,0.4288080036640167,44,3.31943154335022,3.2235541343688965,0.3531376421451568,-0.0958777964115142,34.8653675,-92.5398821,11,4,1,3.31943154335022,-0.09104803204536438
