site_no,DOC_monthly_labels,site_tp_cd,station_nm
06463720,24,ST,"Niobrara River at Mariaville, Nebr."
06467500,59,ST,"MISSOURI RIVER AT YANKTON, SD"
06485500,89,ST,"BIG SIOUX RIVER AT AKRON, IA"
06607500,118,ST,"Little Sioux River near Turin, IA"
06609500,118,ST,"Boyer River at Logan, IA"
06610000,5,ST,"Missouri River at Omaha, NE"
06611100,24,ST,"GRIZZLY CREEK NEAR SPICER, CO."
06611200,24,ST,"BUFFALO CREEK NEAR HEBRON, CO."
06611300,24,ST,"GRIZZLY CREEK NEAR HEBRON, CO."
06611800,24,ST,"LITTLE GRIZZLY CREEK ABOVE COALMONT, CO."
06611900,25,ST,"LITTLE GRIZZLY CREEK ABOVE HEBRON, CO."
06697100,35,ST,"TARRYALL CREEK BLW PARK GULCH NR COMO, CO"
06698500,42,ST,"TARRYALL CREEK NEAR JEFFERSON, CO."
06710200,10,ST,"BIG DRY CREEK TRIBUTARY AT LITTLETON, CO."
06710247,28,ST,"SOUTH PLATTE RIVER BELOW UNION AVE, AT ENGLEWOOD,C"
06711635,18,FA-QC,"NORTH AVENUE STORM DRAIN AT DFC AT LAKEWOOD, CO."
06713500,234,ST,"CHERRY CREEK AT DENVER, CO."
06714000,113,ST,"SOUTH PLATTE RIVER AT DENVER, CO."
06719505,29,ST,"CLEAR CREEK AT GOLDEN, CO"
06720500,56,ST,"SOUTH PLATTE RIVER AT HENDERSON, CO"
06721500,32,ST,"NORTH ST. VRAIN CREEK NEAR ALLENS PARK, CO."
06731000,30,ST,"ST. VRAIN CREEK AT MOUTH, NEAR PLATTEVILLE, CO."
06734900,32,ST,"OLYMPUS TUNNEL AT LAKE ESTES, CO."
06752000,29,ST,"CACHE LA POUDRE RIV AT MO OF CN, NR FT COLLINS, CO"
06753400,26,ST,"LONETREE CREEK AT CARR, CO."
06753990,63,ST,"LONETREE CREEK NEAR GREELEY, CO."
06754000,241,ST,"SOUTH PLATTE RIVER NEAR KERSEY, CO"
06759910,30,ST,"SOUTH PLATTE RIVER AT COOPER BRIDGE, NR BALZAC, CO"
06765500,29,ST,"SOUTH PLATTE RIVER AT NORTH PLATTE, NEBR."
06770500,22,ST,"Platte River near Grand Island, Nebr."
06775900,200,ST,"Dismal River near Thedford, Nebr."
06791150,20,ST,"LOUP RIVER NEAR PALMER, NE"
06795500,18,ST,"Shell Creek near Columbus, Nebr."
06800000,215,ST,"Maple Creek near Nickerson, Nebr."
06800500,227,ST,"Elkhorn River at Waterloo, Nebr."
06801000,22,ST,"Platte River near Ashland, Nebr."
06805500,300,ST,"Platte River at Louisville, Nebr."
06810000,130,ST,"Nishnabotna River above Hamburg, IA"
06818000,37,ST,"Missouri River at St. Joseph, MO"
06856600,22,ST,"REPUBLICAN R AT CLAY CENTER, KS"
06877600,20,ST,"SMOKY HILL R AT ENTERPRISE, KS"
06879100,36,ST,"KANSAS R AT FORT RILEY, KS"
06879650,20,ST,"KINGS C NR MANHATTAN, KS"
06880800,43,ST,"West Fork Big Blue River near Dorchester, Nebr."
06882000,35,ST,"Big Blue River at Barneston, Nebr."
06884025,32,ST,"Little Blue River at Hollenberg, KS"
06885500,35,ST,"BLACK VERMILLION R NR FRANKFORT, KS"
06887000,58,ST,"BIG BLUE R NR MANHATTAN, KS"
06888500,35,ST,"MILL C NR PAXICO, KS"
06889000,35,ST,"KANSAS R AT TOPEKA, KS"
06890100,41,ST,"DELAWARE R NR MUSCOTAH, KS"
06890900,32,ST,"DELAWARE R AT PERRY, KS"
06891500,33,ST,"WAKARUSA R NR LAWRENCE, KS"
06892350,190,ST,"KANSAS R AT DESOTO, KS"
06893150,47,ST,"Blue River at Blue Ridge Blvd Ext in KC, MO"
06893350,17,ST,"TOMAHAWK C NR OVERLAND PARK, KS"
06893390,25,ST,"INDIAN C AT STATE LINE RD, LEAWOOD, KS"
06893400,36,ST,"Indian Creek at 103rd St in Kansas City, MO"
06893500,43,ST,"Blue River at Kansas City, MO"
06893557,49,ST,"Brush Creek at Ward Parkway in Kansas City, MO"
06893562,47,ST,"Brush Creek at Rockhill Road in Kansas City, MO"
06893563,26,ST,"Town Fork Creek at Satchel Paige Mem Stad, in KC"
06893564,9,ST,"Brush Creek at Elmwood Avenue in Kansas City, MO"
06893578,36,ST,"Blue River at Stadium Drive in Kansas City, MO"
06893620,54,ST,"Rock Creek at Kentucky Road in Independence, MO"
06893820,49,ST,Little Blue R. at Lees Summit Rd in Independence
06893830,49,ST,"Adair Creek at Independence, MO"
06893890,49,ST,"East Fork Little Blue River near Blue Springs, MO"
06893940,36,ST,"Crackerneck Creek at Selsa Rd. in Independence, MO"
06893970,50,ST,"Spring Branch Ck at Holke Rd in Independence, MO"
06893990,9,ST,"Burr Oak Creek at Independence, MO"
06894000,49,ST,"Little Blue River near Lake City, MO"
06902000,32,ST,"Grand River near Sumner, MO"
06905500,25,ST,"Chariton River near Prairie Hill, MO"
06923150,37,ST,Dousinbury Cr at Hwy JJ near Wall Street
06923250,30,ST,"Niangua River at Windyville, MO"
06926510,24,ST,"Osage River below St. Thomas, MO"
06929315,38,ST,"Paddy Creek above Slabtown Spring, MO"
06930800,29,ST,"Gasconade River above Jerome, MO"
06934500,304,ST,"Missouri River at Hermann, MO"
09013000,33,SB-TSM,"ALVA B ADAMS TUN AT E PORTAL, NR ESTES PARK, CO."
384926092251301,22,GW,COLUMBIA USGS 07
385014092243001,23,GW,COLUMBIA USGS 06
385025092261701,23,GW,COLUMBIA USGS 04
385034092252501,22,GW,COLUMBIA USGS 05S
385034092252502,22,GW,COLUMBIA USGS 05D
385102092252801,22,GW,COLUMBIA USGS 03S
385102092252802,23,GW,COLUMBIA USGS 03D
385104092252402,23,ST,COLUMBIA Perche Creek near USGS-3
385105092252002,20,LK,COLUMBIA Blew hole near USGS-3
385107092261001,20,GW,COLUMBIA USGS 02S
385112092263101,27,GW,COLUMBIA MW 04-2A
385112092263102,26,GW,COLUMBIA MW 04-2B
385132092263301,27,GW,COLUMBIA MW 04-1A
385132092263302,27,GW,COLUMBIA MW 04-1B
385149092255501,22,GW,COLUMBIA USGS 01
385218092262001,27,GW,COLUMBIA MW 02-1A
385218092262002,28,GW,COLUMBIA MW 02-1B
